country,epgshare_id,epgshare_name,candidate_tvg_id,candidate_key,score
uk,Al.Jazeera.HD.uk,Al Jazeera HD,Blaze.uk@SD,blaze,72.0
uk,BBC.R4.FM.uk,BBC R4 FM,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,BBC.R.Foyle.uk,BBC R Foyle,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,Zee.Cinema.uk,Zee Cinema,ZeeOne.uk@UK,zeeone,66.66666666666667
uk,BBC.R.Ulster.uk,BBC R Ulster,BBCUHD1.uk@SD,bbc1,77.14285714285715
uk,Sky.Arts.HD.uk,Sky Arts HD,SkySportsCricket.uk@HD,skysportscricket,65.45454545454547
uk,Sky.Action.uk,Sky Action,PlutoTV80sAction.de@GB,plutotv80saction,78.75
uk,5USA+1.uk,5USA+1,UtsavBharat.uk@SD,utsavbharat,67.5
ie,RTE.One.HD.ie,RTE One HD,TheNewDetectives.de@GB,thenewdetectives,65.45454545454547
ie,BBC1.HD.ie,BBC1 HD,BBCFourCBeebies.uk@HD,bbcfourcbeebies,77.14285714285715
ie,BBC.TWO.HD.ie,BBC TWO HD,BBCThreeCBBC.uk@HD,bbcthreecbbc,72.0
ie,More4.ie,More4,MoreTVCrime.de@GB,moretvcrime,80.0
ie,SKY.One.HD.ie,SKY One HD,SkyNews.ie@SD,skynews,76.92307692307692
ie,Sky.Witness.HD.ie,Sky Witness HD,SkyNews.ie@SD,skynews,70.58823529411764
ie,Sky.Crime.HD.ie,Sky Crime HD,PlutoTVAmericanTrueCrime.de@GB,plutotvamericantruecrime,69.23076923076923
ie,Sky.Arts.HD.ie,Sky Arts HD,SkySportsF1.ie@SD,skysportsf1,66.66666666666667
ie,Sky.Sci-Fi.HD.ie,Sky Sci-Fi HD,PlutoTVSciFi.de@GB,plutotvscifi,69.23076923076923
ie,Sky.History.HD.ie,Sky History HD,SkyMix.uk@HD,skymix,65.45454545454547
ie,ITV3.ie,ITV3,PlutoTVClassicTV.de@GB,plutotvclassictv,67.5
ie,ITV4.ie,ITV4,PlutoTVClassicTV.de@GB,plutotvclassictv,67.5
ie,True.Crime.Xtra.ie,True Crime Xtra,TrueCrime.uk@SD,truecrime,81.81818181818181
ie,U&Drama.ie,U&Drama,PlutoTVCrimeDrama.de@GB,plutotvcrimedrama,81.81818181818181
ie,Crime.&.Investigation.HD.ie,Crime & Investigation HD,CSICrimeSceneInvestigation.de@GB,csicrimesceneinvestigation,81.81818181818181
ie,CNN.HD.ie,CNN HD,OireachtasTVDailEireann.ie@SD,oireachtastvdilireann,72.0
ie,Sky.History.2.ie,Sky History 2,SkyMix.uk@HD,skymix,65.45454545454547
ie,Blaze.ie,Blaze,MissionImpossible.de@GB,missionimpossible,67.5
ie,Sky.Hits.HD.ie,Sky Hits HD,SkySportsF1.ie@SD,skysportsf1,65.45454545454547
ie,Sky.Family.HD.ie,Sky Family HD,SkyMix.uk@HD,skymix,66.66666666666667
ie,Sky.Horror.HD.ie,Sky Horror HD,PlutoTVFantasyHorror.de@GB,plutotvfantasyhorror,84.70588235294117
ie,Sky.Cinema.Comedy.HD.ie,Sky Cinema Comedy HD,SkyMix.uk@HD,skymix,65.45454545454547
ie,Sky.Drama.HD.ie,Sky Drama HD,PlutoTVCrimeDrama.de@GB,plutotvcrimedrama,69.23076923076923
ie,Sky.Action.HD.ie,Sky Action HD,PlutoTV80sAction.de@GB,plutotv80saction,78.75
ie,Sky.Hits.ie,Sky Hits,SkySportsF1.ie@SD,skysportsf1,65.45454545454547
ie,Sky.Family.ie,Sky Family,SkyMix.uk@HD,skymix,66.66666666666667
ie,Sky.Horror.ie,Sky Horror,PlutoTVFantasyHorror.de@GB,plutotvfantasyhorror,84.70588235294117
ie,Sky.Cinema.Comedy.ie,Sky Cinema Comedy,SkyMix.uk@HD,skymix,65.45454545454547
ie,Sky.Drama.ie,Sky Drama,PlutoTVCrimeDrama.de@GB,plutotvcrimedrama,69.23076923076923
ie,Sky.Action.ie,Sky Action,PlutoTV80sAction.de@GB,plutotv80saction,78.75
ie,Film4.HD.ie,Film4 HD,PlutoTVCultFilms.de@GB,plutotvcultfilms,72.0
ie,Sky.Sports.Main.Event.HD.ie,Sky Sports Main Event HD,SkySportsF1.ie@SD,skysportsf1,81.0
ie,Sky.Sports.Premier.League.HD.ie,Sky Sports Premier League HD,SkySportsF1.ie@SD,skysportsf1,81.0
ie,Sky.Sports.Cricket.HD.ie,Sky Sports Cricket HD,SkySportsF1.ie@SD,skysportsf1,66.66666666666667
ie,Sky.Sports.Golf.HD.ie,Sky Sports Golf HD,SkySportsF1.ie@SD,skysportsf1,83.33333333333334
ie,Sky.Sports.Action.HD.ie,Sky Sports Action HD,SkySportsF1.ie@SD,skysportsf1,69.23076923076923
ie,Sky.Sports.Plus.HD.ie,Sky Sports Plus HD,SkySportsF1.ie@SD,skysportsf1,75.0
ie,Sky.Sports.News.HD.ie,Sky Sports News HD,SkyNews.ie@SD,skynews,75.00000000000001
ie,Sky.Sports.Mix.HD.ie,Sky Sports Mix HD,SkySportsF1.ie@SD,skysportsf1,78.26086956521739
ie,Sky.Sports.Tennis.HD.ie,Sky Sports Tennis HD,SkySportsF1.ie@SD,skysportsf1,69.23076923076923
ie,Sky.Sports.Racing.HD.ie,Sky Sports Racing HD,SkySportsF1.ie@SD,skysportsf1,69.23076923076923
ie,TNT.Sports.1.HD.ie,TNT Sports 1 HD,SkySportsF1.ie@SD,skysportsf1,66.66666666666667
ie,Sky.Sports.Main.Event.ie,Sky Sports Main Event,SkySportsF1.ie@SD,skysportsf1,81.0
ie,Sky.Sports.Premier.League.ie,Sky Sports Premier League,SkySportsF1.ie@SD,skysportsf1,81.0
ie,Sky.Sports.Cricket.ie,Sky Sports Cricket,SkySportsF1.ie@SD,skysportsf1,66.66666666666667
ie,Sky.Sports.Golf.ie,Sky Sports Golf,SkySportsF1.ie@SD,skysportsf1,83.33333333333334
ie,Sky.Sports.Action.ie,Sky Sports Action,SkySportsF1.ie@SD,skysportsf1,69.23076923076923
ie,Sky.Sports.Plus.ie,Sky Sports Plus,SkySportsF1.ie@SD,skysportsf1,75.0
ie,Sky.Sports.News.ie,Sky Sports News,SkyNews.ie@SD,skynews,75.00000000000001
ie,Sky.Sports.Mix.ie,Sky Sports Mix,SkySportsF1.ie@SD,skysportsf1,78.26086956521739
ie,Sky.Sports.Tennis.ie,Sky Sports Tennis,SkySportsF1.ie@SD,skysportsf1,69.23076923076923
ie,TNT.Sports.1.ie,TNT Sports 1,SkySportsF1.ie@SD,skysportsf1,66.66666666666667
