country,epgshare_id,epgshare_name
uk,Premier.Sports.1.HD.uk,Premier Sports 1 HD
uk,Absolute.80s.uk,Absolute 80s
ie,Virgin.Media.One.HD.ie,Virgin Media One HD
ie,RTE.Two.HD.ie,RTE Two HD
ie,Virgin.Media.Two.HD.ie,Virgin Media Two HD
ie,Virgin.Media.Three.HD.ie,Virgin Media Three HD
ie,Virgin.Media.Four.HD.ie,Virgin Media Four HD
ie,RTE.One.+1.ie,RTE One +1
ie,Virgin.Media.One.+1.ie,Virgin Media One +1
ie,E4.ie,E4
ie,Sky.Comedy.HD.ie,Sky Comedy HD
ie,Sky.Nature.HD.ie,Sky Nature HD
ie,Sky.Documentaries.HD.ie,Sky Documentaries HD
ie,U&Gold.HD.ie,U&Gold HD
ie,U&Dave.HD.ie,U&Dave HD
ie,Sky.Sci-Fi.HD.ie,Sky Sci-Fi HD
ie,U&W.HD.ie,U&W HD
ie,U&Yesterday.HD.ie,U&Yesterday HD
ie,E4.Extra.ie,E4 Extra
ie,TLC.HD.ie,TLC HD
ie,Comedy.Extra.ie,Comedy Extra
ie,Legend.ie,Legend
ie,Legend.Xtra.ie,Legend Xtra
ie,Discovery.Quest.HD.ie,Discovery Quest HD
ie,Discovery.Turbo.ie,Discovery Turbo
ie,Challenge.ie,Challenge
ie,Quest.Red.ie,Quest Red
ie,Really.ie,Really
ie,Fashion.TV.ie,Fashion TV
ie,QVC.ie,QVC
ie,RTE.News.Now.ie,RTE News Now
ie,BBC.News.24.ie,BBC News 24
ie,Euronews.ie,Euronews
ie,CNBC.Europe.ie,CNBC Europe
ie,BBC.News.ie,BBC News
ie,Discovery.HD.ie,Discovery HD
ie,Discovery.Science.ie,Discovery Science
ie,Discovery.History.ie,Discovery History
ie,Animal.Planet.HD.ie,Animal Planet HD
ie,DMAX.ie,DMAX
ie,National.Geographic.HD.ie,National Geographic HD
ie,Nat.Geo.Wild.HD.ie,Nat Geo Wild HD
ie,Blaze.ie,Blaze
ie,Bloomberg.ie,Bloomberg
ie,Netflix.300.ie,Netflix 300
ie,Sky.Premiere.HD.ie,Sky Premiere HD
ie,Sky.Select.HD.ie,Sky Select HD
ie,Sky.Greats.HD.ie,Sky Greats HD
ie,Sky.Animation.HD.ie,Sky Animation HD
ie,Film.Four.ie,Film Four
ie,Sky.Animation.ie,Sky Animation
ie,Sky.Premiere.ie,Sky Premiere
ie,Sky.Select.ie,Sky Select
ie,Sky.Greats.ie,Sky Greats
ie,Racing.UK.ie,Racing UK
ie,TNT.Sports.2.HD.ie,TNT Sports 2 HD
ie,TNT.Sports.3.HD.ie,TNT Sports 3 HD
ie,TNT.Sports.4.HD.ie,TNT Sports 4 HD
ie,Premier.Sports.1.HD.ie,Premier Sports 1 HD
ie,Premier.Sports.2.HD.ie,Premier Sports 2 HD
ie,TNT.Sports.2.ie,TNT Sports 2
ie,TNT.Sports.3.ie,TNT Sports 3
ie,TNT.Sports.4.ie,TNT Sports 4
ie,Premier.Sports.1.ie,Premier Sports 1
ie,Premier.Sports.2.ie,Premier Sports 2
ie,E4+1.ie,E4+1
ie,U&Gold.+1.ie,U&Gold +1
ie,FILMFOUR.+1.ie,FILMFOUR +1
ie,RTE.KIDSjr.ie,RTE KIDSjr
ie,Cula4.HD.ie,Cula4 HD
ie,Boomerang.ie,Boomerang
ie,Nick.Junior.ie,Nick Junior
ie,Cartoonito.ie,Cartoonito
ie,E4.HD.ie,E4 HD
ie,Sky.Comedy.ie,Sky Comedy
ie,Discovery.ie,Discovery
ie,National.Geographic.ie,National Geographic
ie,Nat.Geo.Wild.ie,Nat Geo Wild
ie,Sky.Sci-Fi.ie,Sky Sci-Fi
ie,Sky.Nature.ie,Sky Nature
ie,Sky.Documentaries.ie,Sky Documentaries
ie,Zee.TV.ie,Zee TV
ie,PPV.HD.ie,PPV HD
de,DMAX.de,DMAX
de,sportdigital.Fussball.de,sportdigital Fussball
de,TOGGO.plus.de,TOGGO plus
de,Fix.&.Foxi.de,Fix & Foxi
de,Bon.Gusto.de,Bon Gusto
de,UHD1.de,UHD1
de,BBC.World.News.de,BBC World News
de,BBC.News.de,BBC News
de,CNN.International.de,CNN International
de,CNN.Türk.de,CNN Türk
de,euronews.(ger).de,euronews (ger)
de,Al.Jazeera.de,Al Jazeera
de,BBC.One.de,BBC One
de,BBC.four.de,BBC four
de,Canal+.Cinéma.de,Canal+ Cinéma
de,ORF.III.de,ORF III
de,PULS.acht.de,PULS acht
de,Belgien.1.de,Belgien 1
de,Show.Turk.de,Show Turk
de,Turkmax.Gurme.de,Turkmax Gurme
de,Euro.Star.de,Euro Star
